[26/Apr/2016 14:12:47] - (0.001) INSERT INTO "book_store_book" ("title", "author", "info", "ISBN", "publish_date", "price") VALUES ('How to ride a bike?', 'Crazy Frog', 'Don''t repeat that at home', '1234567890', '2016-04-26', '99.99') RETURNING "book_store_book"."id"; args=(u'How to ride a bike?', u'Crazy Frog', u"Don't repeat that at home", u'1234567890', u'2016-04-26', u'99.99') 
[26/Apr/2016 14:13:06] - (0.001) UPDATE "book_store_book" SET "title" = 'How to ride a bike!?', "author" = 'Crazy Frog', "info" = 'Don''t repeat that at home', "ISBN" = '1234567890', "publish_date" = '2016-04-26', "price" = '99.99' WHERE "book_store_book"."id" = 14; args=(u'How to ride a bike!?', u'Crazy Frog', u"Don't repeat that at home", u'1234567890', u'2016-04-26', u'99.99', 14) 
[26/Apr/2016 14:13:36] - (0.001) UPDATE "book_store_book" SET "title" = 'How to ride a bike ?', "author" = 'Crazy Frog', "info" = 'Don''t repeat that at home', "ISBN" = '1234567890', "publish_date" = '2016-04-26', "price" = '99.99' WHERE "book_store_book"."id" = 14; args=(u'How to ride a bike ?', u'Crazy Frog', u"Don't repeat that at home", u'1234567890', u'2016-04-26', u'99.99', 14) 
[26/Apr/2016 14:23:06] - (0.002) DELETE FROM "book_store_book" WHERE "book_store_book"."id" IN (14); args=(14,) 
[27/Apr/2016 03:18:03] - (0.029) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.91' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.91', 2) 
[27/Apr/2016 03:18:38] - (0.007) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.91' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.91', 2) 
[27/Apr/2016 03:19:26] - (0.002) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.91' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.91', 2) 
[27/Apr/2016 03:20:53] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.91' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.91', 2) 
[27/Apr/2016 03:20:57] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.91' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.91', 2) 
[27/Apr/2016 03:21:01] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334', "publish_date" = '2016-04-26', "price" = '12.92' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334', u'2016-04-26', u'12.92', 2) 
[27/Apr/2016 12:59:02] - (0.001) UPDATE "book_store_book" SET "title" = 'Ambition: Why its Good to Want More and How to Get it', "author" = 'Rachel Bridge', "info" = 'Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you''ve already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you', "ISBN" = '9780857086334fd', "publish_date" = '2016-04-26', "price" = '12.92' WHERE "book_store_book"."id" = 2; args=(u'Ambition: Why its Good to Want More and How to Get it', u'Rachel Bridge', u"Be bold. Be brave. Embrace your ambition. Ever have that nagging feeling that you are better than the sum of your current achievements? Do you have a secret desire to be achieving much more, to change the world or to reach the top of your game? Then it is time to use your ambition to your advantage. It has been proven that ambitious people achieve greater levels of success, whether that be a higher level of education, a more prestigious job, a higher income or more satisfaction in life. Grounded in scientific research and with contributions from people at the height of their success in business, music, the arts and sport, Ambition will help you to harness your aspirations to achieve your lifetime goals. It will give you practical insights into how to use your talents and learn from others who have done it before, so that you can get to where you want to be. If you want to get that promotion, achieve that big life-changing goal, start your own successful business, receive that distinctive acclaim, or make a positive difference to the world, then the good news is that you already have the fuel of ambition in you. This book will show you how to use it to drive your success. * Reveals how you can do more than you think with what you've already got * Helps discover your true motivation using a psychology model and shows you how to use that as the fuel for greater success * Contains insights from successful people in all fields including John Torode, Myleene Klass, Will Greenwood, Katie Hopkins and Gavin Patterson * Shows that the world is an exciting place and you can do anything if you use your ambition to help you", u'9780857086334fd', u'2016-04-26', u'12.92', 2) 
